FileName,MoleculeListName,MoleculeName,PrecursorMz,ProductMz,RetentionTime,StartTime,EndTime,Area,Height,AcquiredTime
PLASMA_LTR,DAG,DAG(18:0_18:3),636.5,341.3,9.288899422,9.113900185,9.411399841,568177.75,95940.57813,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:0_18:3),636.5,341.3,9.288216591,9.112216949,9.411416054,130718.2266,17812.97266,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:0_22:6),686.6,341.3,8.864684105,8.730283737,8.999083519,21327.1543,6641.16748,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:0_22:6),686.6,341.3,8.907167435,8.727766991,9.000766754,44470.59375,10876.08105,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:1_18:1),638.4,339.3,9.434383392,9.308282852,9.657483101,29462686,9854373,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:1_18:1),638.4,339.3,9.440517426,9.306217194,9.661717415,56978348,19114680,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:1_18:2),636.5,339.3,9.190032959,9.067533493,9.54003334,29470606,8407014,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:1_18:2),636.5,339.3,9.206783295,9.065982819,9.541183472,14001170,3667321.25,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:1_20:1),666.6,339.3,9.688716888,9.530317307,9.880117416,333580,94200.59375,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:1_20:1),666.6,339.3,9.685166359,9.526766777,9.883166313,803320.3125,230924.9688,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:1_20:2),664.6,339.3,9.466583252,9.177983284,9.653782845,555660.4375,123121.8672,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:1_20:2),664.6,339.3,9.527750015,9.174949646,9.650149345,686864.5625,125849.4922,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:1_20:3),662.6,339.3,9.365233421,9.01523304,9.487732887,2060394.125,338846.8438,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:1_20:3),662.6,339.3,9.364617348,9.012617111,9.487816811,3147865.5,896286.375,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:1_20:4),660.5,339.3,9.128799438,8.883799553,9.321299553,4983118,1214211.5,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:1_20:4),660.5,339.3,9.128582954,8.882183075,9.322182655,6765518.5,1758232.25,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:1_20:5),658.5,339.3,8.319732666,8.079732895,8.521332741,563318.5,83147.36719,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:1_20:5),658.5,339.3,8.34280014,8.076399803,8.520400047,397498.5313,71257.77344,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:1_22:4),688.6,339.3,9.374382973,9.111883163,9.514383316,413028.6875,125890.5547,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:1_22:4),688.6,339.3,9.373316765,9.126916885,9.514116287,509842.875,176082.6875,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:1_22:5),686.6,339.3,9.267983437,9.005482674,9.460482597,1065773.375,191024.8438,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:1_22:5),686.6,339.3,9.284999847,9.003399849,9.460999489,1526693.25,351514.5313,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:1_22:6),684.6,339.3,8.880149841,8.71214962,9.14054966,640774.5,94643.71094,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:1_22:6),684.6,339.3,8.882033348,8.71043396,9.139433861,1242521.125,214089.7188,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:2_18:3),632.4,337.3,7.534133434,7.426133633,7.834133625,1058664.875,94559.86719,03/14/2021 05:33:51
Sample_1,DAG,DAG(18:2_18:3),632.4,337.3,7.520866394,7.432666302,7.835866451,73845.25,9199.200195,03/13/2021 16:21:44
PLASMA_LTR,DAG,DAG(18:2_20:3),660.5,337.3,9.109333038,8.986833572,9.231833458,366069.1875,85553.46875,03/14/2021 05:33:51
