Molecule List Name	Precursor Name	Precursor Mz	Precursor Charge	Product Mz	Product Charge	Explicit Retention Time	Explicit Retention Time Window	Note	Source_ID	Source	control_chart	original_Precursor_Name	original_Note
CAR	CAR(26:0)	540.499	1	85.028	1	5.89	0.5	SIL_CAR(24:0)-d4	SIL_CAR(24:0)-d4	Avanti	FALSE	CAR(26:0)	SIL_CAR(24:0)-d4
CAR	CAR(26:1)	538.483	1	85.028	1	5.12	0.5	SIL_CAR(24:0)-d4	SIL_CAR(24:0)-d4	Avanti	FALSE	CAR(26:1)	SIL_CAR(24:0)-d4
CAR	SIL_CAR(8:0)-d9	297.17	1	85.028	1	0.66	0.5	NA	NA	CarnitineSPLASH	FALSE	SIL_CAR(8:0)-d9	NA
CAR	SIL_CAR(10:0)-d9	325.318	1	85.028	1	0.78	0.5	NA	NA	CarnitineSPLASH	FALSE	SIL_CAR(10:0)-d9	NA
CAR	SIL_CAR(12:0)-d9	353.28	1	85.028	1	1.25	0.5	NA	NA	CarnitineSPLASH	FALSE	SIL_CAR(12:0)-d9	NA
CAR	SIL_CAR(14:0)-d9	381.311	1	85.028	1	1.95	0.5	NA	NA	CarnitineSPLASH	FALSE	SIL_CAR(14:0)-d9	NA
CAR	SIL_CAR(16:0)-d9	409.59	1	84.7	1	2.74	0.5	NA	NA	CarnitineSPLASH	FALSE	SIL_CAR(16:0)-d9	NA
CAR	SIL_CAR(18:0)-d9	437.373	1	85.028	1	3.45	0.5	NA	NA	CarnitineSPLASH	FALSE	SIL_CAR(18:0)-d9	NA
CAR	SIL_CAR(18:1)-d9	435.428	1	85.028	1	2.89	0.5	NA	NA	CarnitineSPLASH	FALSE	SIL_CAR(18:1)-d9	NA
CAR	SIL_CAR(18:2)-d9	433.342	1	85.028	1	2.37	0.5	NA	NA	CarnitineSPLASH	FALSE	SIL_CAR(18:2)-d9	NA
CAR	SIL_CAR(24:0)-d4	516.5	1	85.028	1	5.11	0.5	NA	NA	CarnitineSPLASH	FALSE	SIL_CAR(24:0)-d4	NA
CE	CE(14:0)	614.6	1	369.4	1	11.04	0.5	SIL_CE(14:1)-d7	SIL_14:1 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(14:0)	SIL_CE(14:1)-d7
CE	CE(15:0)	628.6	1	369.3	1	11.13	0.5	SIL_CE(14:1)-d7	SIL_14:1 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(15:0)	SIL_CE(14:1)-d7
CE	CE(16:0)	642.6	1	369.4	1	11.19	0.5	SIL_CE(14:1)-d7	SIL_14:1 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(16:0)	SIL_CE(14:1)-d7
CE	CE(16:1)	640.6	1	369.4	1	11.04	0.5	SIL_CE(16:1)-d7	SIL_16:1 cholesteryl-d7 ester	UltimateSPLASH	TRUE	CE(16:1)	SIL_CE(16:1)-d7
CE	CE(17:0)	656.6	1	369.4	1	11.29	0.5	SIL_CE(16:1)-d7	SIL_16:1 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(17:0)	SIL_CE(16:1)-d7
CE	CE(17:1)	654.6	1	369.4	1	11.15	0.5	SIL_CE(16:1)-d7	SIL_16:1 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(17:1)	SIL_CE(16:1)-d7
CE	CE(18:0)	670.6	1	369.4	1	11.39	0.5	SIL_CE(16:1)-d7	SIL_16:1 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(18:0)	SIL_CE(16:1)-d7
CE	CE(18:1)	668.6	1	369.4	1	11.19	0.5	SIL_CE(18:1)-d7	SIL_18:1 cholesteryl-d7 ester	UltimateSPLASH	TRUE	CE(18:1)	SIL_CE(18:1)-d7
CE	CE(18:2)	666.6	1	369.4	1	11.07	0.5	SIL_CE(18:1)-d7	SIL_18:1 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(18:2)	SIL_CE(18:1)-d7
CE	CE(18:3)	664.6	1	369.4	1	10.91	0.5	SIL_CE(18:1)-d7	SIL_18:1 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(18:3)	SIL_CE(18:1)-d7
CE	CE(20:0)	698.7	1	369.4	1	11.51	0.5	SIL_CE(18:1)-d7	SIL_18:1 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(20:0)	SIL_CE(18:1)-d7
CE	CE(20:1)	696.7	1	369.4	1	11.38	0.5	SIL_CE(18:1)-d7	SIL_18:1 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(20:1)	SIL_CE(18:1)-d7
CE	CE(20:2)	694.6	1	369.4	1	11.2	0.5	SIL_CE(18:1)-d7	SIL_18:1 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(20:2)	SIL_CE(18:1)-d7
CE	CE(20:3)	692.6	1	369.4	1	11.07	0.5	SIL_CE(20:3)-d7	SIL_20:3 cholesteryl-d7 ester	UltimateSPLASH	TRUE	CE(20:3)	SIL_CE(20:3)-d7
CE	CE(20:4)	690.6	1	369.4	1	10.97	0.5	SIL_CE(20:3)-d7	SIL_20:3 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(20:4)	SIL_CE(20:3)-d7
CE	CE(20:5)	688.6	1	369.4	1	10.62	0.5	SIL_CE(20:3)-d7	SIL_20:3 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(20:5)	SIL_CE(20:3)-d7
CE	CE(22:0)	726.7	1	369.4	1	11.77	0.5	SIL_CE(20:3)-d7	SIL_20:3 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(22:0)	SIL_CE(20:3)-d7
CE	CE(22:1)	724.7	1	369.4	1	11.55	0.5	SIL_CE(20:3)-d7	SIL_20:3 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(22:1)	SIL_CE(20:3)-d7
CE	CE(22:2)	722.7	1	369.4	1	11.38	0.5	SIL_CE(20:3)-d7	SIL_20:3 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(22:2)	SIL_CE(20:3)-d7
CE	CE(22:4)	718.6	1	369.4	1	11.07	0.5	SIL_CE(22:4)-d7	SIL_22:4 cholesteryl-d7 ester	UltimateSPLASH	TRUE	CE(22:4)	SIL_CE(22:4)-d7
CE	CE(22:5)	716.6	1	369.4	1	10.94	0.5	SIL_CE(22:4)-d7	SIL_22:4 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(22:5)	SIL_CE(22:4)-d7
CE	CE(22:6)	714.6	1	369.4	1	10.91	0.5	SIL_CE(22:4)-d7	SIL_22:4 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(22:6)	SIL_CE(22:4)-d7
CE	CE(24:0)	754.7	1	369.4	1	11.91	0.5	SIL_CE(22:4)-d7	SIL_22:4 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(24:0)	SIL_CE(22:4)-d7
CE	CE(24:1)	752.7	1	369.4	1	11.73	0.5	SIL_CE(22:4)-d7	SIL_22:4 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(24:1)	SIL_CE(22:4)-d7
CE	CE(24:4)	746.7	1	369.3	1	11.23	0.5	SIL_CE(22:4)-d7	SIL_22:4 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(24:4)	SIL_CE(22:4)-d7
CE	CE(24:5)	744.7	1	369.3	1	11.16	0.5	SIL_CE(22:4)-d7	SIL_22:4 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(24:5)	SIL_CE(22:4)-d7
CE	CE(24:6)	742.7	1	369.3	1	11.04	0.5	SIL_CE(22:4)-d7	SIL_22:4 cholesteryl-d7 ester	UltimateSPLASH	FALSE	CE(24:6)	SIL_CE(22:4)-d7
CE	SIL_CE(14:1)-d7	619.84	1	376.56	1	10.82	0.5	NA	NA	UltimateSPLASH	FALSE	SIL_CE(14:1)-d7	NA
CE	SIL_CE(16:1)-d7	647.9	1	376.49	1	10.99	0.5	NA	NA	UltimateSPLASH	FALSE	SIL_CE(16:1)-d7	NA
CE	SIL_CE(18:1)-d7	675.91	1	376.49	1	11.12	0.5	NA	NA	UltimateSPLASH	FALSE	SIL_CE(18:1)-d7	NA
CE	SIL_CE(20:3)-d7	699.7	1	376.1	1	11.06	0.5	NA	NA	UltimateSPLASH	FALSE	SIL_CE(20:3)-d7	NA
CE	SIL_CE(22:4)-d7	725.91	1	376.4	1	11.04	0.5	NA	NA	UltimateSPLASH	FALSE	SIL_CE(22:4)-d7	NA
CER	CER(14:0)	510.6	1	264.4	1	6.46	0.5	SIL_CER(15:0)-d7	SIL_C15 Ceramide-d7(d18:1-d7/15:0)	SphingoSPLASH	FALSE	CER(14:0)	SIL_CER(15:0)-d7
CER	CER(16:0)	538.6	1	264.4	1	7.49	0.5	SIL_CER(16:1)-d7	SIL_C16:1 Ceramide-d7(d18:1-d7/16:1)	UltimateSPLASH	FALSE	CER(16:0)	SIL_CER(16:1)-d7
CER	CER(18:1)	564.8	1	264.4	1	7.56	0.5	SIL_CER(18:1)-d7	SIL_C18:1 Ceramide-d7(d18:1-d7/18:1)	UltimateSPLASH	TRUE	CER(18:1)	SIL_CER(18:1)-d7
CER	CER(18:0)	566.7	1	264.4	1	8.65	0.5	SIL_CER(18:1)-d7	SIL_C18:1 Ceramide-d7(d18:1-d7/18:1)	UltimateSPLASH	FALSE	CER(18:0)	SIL_CER(18:1)-d7
CER	CER(20:1)	592.6	1	264.4	1	8.58	0.5	SIL_CER(20:1)-d7	SIL_C20:1 Ceramide-d7(d18:1-d7/20:1)	UltimateSPLASH	TRUE	CER(20:1)	SIL_CER(20:1)-d7
CER	CER(20:0)	594.6	1	264.4	1	9.81	0.5	SIL_CER(20:1)-d7	SIL_C20:1 Ceramide-d7(d18:1-d7/20:1)	UltimateSPLASH	FALSE	CER(20:0)	SIL_CER(20:1)-d7
CER	CER(22:1)	620.7	1	264.4	1	9.8	0.5	SIL_CER(22:1)-d7	SIL_C22:1 Ceramide-d7(d18:1-d7/22:1)	UltimateSPLASH	TRUE	CER(22:1)	SIL_CER(22:1)-d7
CER	CER(22:0)	622.7	1	264.4	1	10.25	0.5	SIL_CER(22:1)-d7	SIL_C22:1 Ceramide-d7(d18:1-d7/22:1)	UltimateSPLASH	FALSE	CER(22:0)	SIL_CER(22:1)-d7
CER	CER(24:1)	648.8	1	264.4	1	10.25	0.5	SIL_CER(24:1)-d7	SIL_C24:1 Ceramide-d7(d18:1-d7/24:1)	UltimateSPLASH	TRUE	CER(24:1)	SIL_CER(24:1)-d7
CER	CER(24:0)	650.8	1	264.4	1	10.41	0.5	SIL_CER(24:1)-d7	SIL_C24:1 Ceramide-d7(d18:1-d7/24:1)	UltimateSPLASH	FALSE	CER(24:0)	SIL_CER(24:1)-d7
CER	CER(26:0)	678.9	1	264.4	1	10.56	0.5	SIL_CER(24:1)-d7	SIL_C24:1 Ceramide-d7(d18:1-d7/24:1)	UltimateSPLASH	FALSE	CER(26:0)	SIL_CER(24:1)-d7
CER	CER(26:1)	676.9	1	264.4	1	10.39	0.5	SIL_CER(24:1)-d7	SIL_C24:1 Ceramide-d7(d18:1-d7/24:1)	UltimateSPLASH	FALSE	CER(26:1)	SIL_CER(24:1)-d7
CER	SIL_CER(15:0)-d7	531.547	1	271.34	1	6.91	0.5	NA	NA	UltimateSPLASH	FALSE	SIL_CER(15:0)-d7	NA
CER	SIL_CER(16:1)-d7	543.57	1	271.34	1	6.56	0.5	NA	NA	UltimateSPLASH	FALSE	SIL_CER(16:1)-d7	NA
CER	SIL_CER(18:1)-d7	571.579	1	271.34	1	7.61	0.5	NA	NA	UltimateSPLASH	FALSE	SIL_CER(18:1)-d7	NA
CER	SIL_CER(20:1)-d7	599.607	1	271.34	1	8.68	0.5	NA	NA	UltimateSPLASH	FALSE	SIL_CER(20:1)-d7	NA
CER	SIL_CER(22:1)-d7	627.642	1	271.34	1	9.75	0.5	NA	NA	UltimateSPLASH	FALSE	SIL_CER(22:1)-d7	NA
CER	SIL_CER(24:1)-d7	655.673	1	271.34	1	10.23	0.5	NA	NA	UltimateSPLASH	FALSE	SIL_CER(24:1)-d7	NA
CL	CL(16:0_16:0_16:0_16:0)	675.479	-2	255.233	-1	10.43	0.5	SIL_CL(14:1_24:1_24:1_24:1)	24:1(3)-14.1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_16:0_16:0)	SIL_CL(14:1_24:1_24:1_24:1)
CL	CL(16:0_16:0_16:0_18:0)	689.494	-2	283.264	-1	10.12	0.5	SIL_CL(15:0_15:0_15:0_16:1)	15:0(3)-16:1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_16:0_18:0)	SIL_CL(15:0_15:0_15:0_16:1)
CL	CL(16:0_16:0_16:0_18:1)	688.487	-2	281.249	-1	10.29	0.5	SIL_CL(14:1_24:1_24:1_24:1)	24:1(3)-14.1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_16:0_18:1)	SIL_CL(14:1_24:1_24:1_24:1)
CL	CL(16:0_16:0_16:0_18:2)	687.479	-2	279.233	-1	10.22	0.5	SIL_CL(14:1_24:1_24:1_24:1)	24:1(3)-14.1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_16:0_18:2)	SIL_CL(14:1_24:1_24:1_24:1)
CL	CL(16:0_16:0_16:0_20:0)	703.51	-2	311.296	-1	9.93	0.5	SIL_CL(15:0_15:0_15:0_16:1)	15:0(3)-16:1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_16:0_20:0)	SIL_CL(15:0_15:0_15:0_16:1)
CL	CL(16:0_16:0_16:0_20:4)	699.479	-2	303.233	-1	10.3	0.5	SIL_CL(15:0_15:0_15:0_16:1)	15:0(3)-16:1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_16:0_20:4)	SIL_CL(15:0_15:0_15:0_16:1)
CL	CL(16:0_16:0_18:0_18:0)	703.51	-2	283.264	-1	10.2	0.5	SIL_CL(15:0_15:0_15:0_16:1)	15:0(3)-16:1CA	Cardiolipin Mix I	FALSE	CL(16:0_16:0_18:0_18:0)	SIL_CL(15:0_15:0_15:0_16:1)
